ID,BMI,Stature,DeltaV,CushionStiffness,LapBeltFriction,LoadLimiter,SeatFriction,ShoulderBeltFriction,AirBagInflation,AirBagVenting,Normalized ChestD,FFL,FFR,HIC
151,32.78571429,1.5,33.2,0.685294118,1,1,1.24,0.35,0.993333333,1.242666667,0.029101215,4418.2,5244,94.911
152,43.45714286,1.8,45.8,1.567647059,0.96,1.017647059,1.54,0.97,0.993333333,0.905333333,0.055153527,9102,12865,796.42
153,25.84285714,1.66,35.9,1.170588235,0.57,0.788235294,1.19,0.42,1.000666667,1.638666667,0.016528789,3705.9,3450.7,273.76
154,28.41428571,1.62,20,0.914705882,0.92,1.06,0.78,0.16,1.015333333,1.602,0.019313401,2674.2,3264.5,165.38
155,19.02857143,1.75,37.7,0.605882353,0.18,1.257647059,1.38,0.63,1.000666667,0.751333333,0.024624017,5386.4,7051,516.94
156,20.7,1.89,32.6,1.708823529,0.17,0.929411765,1.5,0.96,1.015333333,1.477333333,0.017898983,5604,7741.9,699.87
157,39.08571429,1.7,35.6,0.570588235,0.41,1.003529412,1.57,0.78,1.022666667,1.426,0.03983813,4730.5,5540.6,432.35
158,28.54285714,1.52,44.9,1.585294118,0.38,0.837647059,1.43,0.61,1.022666667,0.773333333,0.031125084,4812.4,5969.3,1249.5
159,36.9,1.76,29,1.611764706,0.54,1.261176471,1.55,0.49,1.03,1.118,0.020062456,5089.8,4041.8,112.81
160,43.58571429,1.55,49.4,0.641176471,0.53,1.187058824,1.69,0.27,1.037333333,1.352666667,0.063823986,9135.5,12743,868.63
161,30.85714286,1.72,41.9,1.938235294,0.21,1.116470588,1.07,0.15,1.037333333,1.103333333,0.032166183,5448.4,6227.6,373.4
162,28.8,1.69,46.4,1.347058824,0.68,1.201176471,0.88,0.48,1.044666667,0.934666667,0.025286389,5017.2,6440.9,307.77
163,44.74285714,1.63,21.2,1.973529412,0.7,0.763529412,1.03,0.96,1.052,1.044666667,0.024564759,4915.6,5591.8,84.971
164,23.78571429,1.7,40.4,1.594117647,0.11,1.081176471,0.51,0.43,1.052,1.448,0.022957825,4800.5,6697.9,728.65
165,44.1,1.79,36.8,1.902941176,0.12,1.197647059,1.34,0.89,1.059333333,1.719333333,0.046940514,5836.6,9017.2,612.91
166,31.75714286,1.76,39.5,0.914705882,0.89,1.035294118,1.71,0.72,1.052,1.008,0.020513211,5791.9,4332.5,220.06
167,23.27142857,1.61,46.1,1.1,0.47,0.876470588,1.67,0.92,1.059333333,1.154666667,0.018159462,3031,2775.2,345.14
168,41.27142857,1.81,23.9,0.958823529,0.69,1.045882353,0.91,0.41,1.066666667,1.264666667,0.022897971,6030.9,4278.1,137.43
169,35.74285714,1.53,35.3,1.391176471,0.49,0.954117647,1.6,0.14,1.074,0.854,0.012584365,3696.1,5848,49.039
170,18.25714286,1.87,22.7,1.161764706,0.47,1.134117647,0.57,0.56,1.074,0.817333333,0.026722749,5166.1,5224.5,407.43
171,22.75714286,1.78,22.1,1.629411765,0.1,0.710588235,1.31,0.17,1.074,1.25,0.016637402,4811.4,3846,147.05
172,21.21428571,1.67,44.3,1.867647059,0.93,0.735294118,0.73,0.69,1.081333333,0.854,0.017757464,3342.4,3531.3,276.56
173,18.12857143,1.8,42.2,0.729411765,0.25,0.777647059,1.98,0.4,1.081333333,1.206,0.021662019,5911.2,5229.5,872.5
174,33.04285714,1.89,44,1.082352941,0.16,1.289411765,1.21,0.66,1.081333333,0.898,0.043394556,7421.2,8412.1,1410.1
175,34.32857143,1.86,40.1,0.552941176,0.84,0.943529412,0.61,0.38,1.096,1.162,0.043390774,6527.9,9491.5,617.27
176,28.15714286,1.71,41.6,1.788235294,0.5,1.268235294,1.28,0.71,1.096,1.792666667,0.018360216,4491.7,5504.4,562.83
177,39.72857143,1.84,26.3,1.991176471,0.93,0.830588235,0.8,0.3,1.103333333,1.646,0.018516539,5924.6,5992.8,283.17
178,36.9,1.64,45.2,1.761764706,0.88,1.158823529,0.53,1,1.103333333,1.213333333,0.042425663,6337.2,5515.5,403.74
179,33.81428571,1.5,39.2,1.832352941,0.53,1.109411765,1.99,0.64,1.110666667,0.736666667,0.021669462,4916.1,6447.8,144.4
180,25.58571429,1.58,27.5,1.205882353,0.44,1.172941176,0.75,0.19,1.110666667,1.228,0.023450218,2300.4,2891.8,263.49
181,20.82857143,1.86,43.7,0.861764706,0.86,1.204705882,1.84,0.8,1.110666667,1.712,0.023216436,6034.9,5562.7,753.55
182,24.3,1.63,48.5,1.735294118,0.34,0.770588235,1.77,0.65,1.118,1.594666667,0.024012572,3450.9,3732.6,625.98
183,31.88571429,1.74,28.4,1.338235294,0.7,0.925882353,1.48,0.21,1.118,1.543333333,0.020271881,4790.8,3920.4,367.35
184,40.37142857,1.66,23.6,1.682352941,0.17,0.848235294,1.35,0.58,1.125333333,1.052,0.017861934,3852.2,4036.4,31.327
185,43.97142857,1.76,44.6,0.5,0.23,0.862352941,1.04,0.19,1.132666667,1.763333333,0.074425153,9102.1,11341,2068.6
186,34.58571429,1.78,29.9,1.223529412,0.93,0.802352941,1.41,0.9,1.132666667,0.780666667,0.018772823,5287.9,4314.9,231.97
187,20.44285714,1.86,48.8,1.055882353,0.37,0.894117647,1.28,0.49,1.132666667,1.294,0.023241848,6613.9,6629.8,2476.2
188,30.98571429,1.9,37.4,0.844117647,0.35,1.134117647,1.63,0.31,1.14,1.506666667,0.037603256,7259.1,8081.1,1013.8
189,27.12857143,1.51,25.1,1.435294118,0.95,0.961176471,1.75,0.87,1.14,1.411333333,0.009872912,2870.6,1625.4,189.21
190,22.24285714,1.74,21.8,1.294117647,0.54,1.296470588,0.77,0.62,1.147333333,1.675333333,0.023732063,4640.3,5763.2,344.97
191,26.74285714,1.79,32.3,0.535294118,0.51,1.067058824,1.85,0.94,1.147333333,0.978666667,0.019189772,5466.2,3696.5,144.57
192,37.15714286,1.59,42.2,0.773529412,0.14,1.031764706,0.99,0.45,1.147333333,0.832,0.047818941,8605.6,9855.8,997.36
193,29.7,1.57,33.8,1.038235294,0.52,0.707058824,0.66,0.39,1.154666667,1.448,0.018121067,3566.3,4683.6,244.78
194,36.25714286,1.57,38.9,1.523529412,0.31,0.784705882,1.53,0.86,1.154666667,1.198666667,0.031876823,6376.8,8717.9,79.648
195,33.55714286,1.79,20.9,1.567647059,0.18,1.116470588,1.89,0.38,1.169333333,1.572666667,0.015542702,3918.7,3787.6,221.04
196,21.34285714,1.77,25.4,1.002941176,0.8,1.095294118,1.46,0.12,1.169333333,0.846666667,0.022607577,4300.6,5324.5,202.11
197,44.87142857,1.84,43.1,0.720588235,0.98,1.250588235,1.59,0.58,1.176666667,1.059333333,0.043751877,9856,11710,677.92
198,27.12857143,1.78,39.8,0.632352941,0.61,0.738823529,1.43,0.35,1.176666667,1.778,0.053031486,7578.5,6377,552.32
199,38.57142857,1.67,50,1.373529412,0.58,0.943529412,1.11,0.8,1.176666667,1.14,0.054354683,6263.4,6935.3,586.65
200,33.3,1.63,41.6,0.897058824,0.42,0.82,0.74,0.74,1.184,1.308666667,0.039559203,4823.7,5547.8,345.56
201,42.68571429,1.55,37.7,1.417647059,0.24,1.222352941,1.82,0.78,1.191333333,1.792666667,0.043437171,7056.1,10007,186.65
202,34.07142857,1.69,24.8,0.579411765,0.3,0.7,1.25,0.51,1.191333333,0.766,0.015495923,3828.9,4032.6,45.513
203,41.01428571,1.83,21.8,1.770588235,0.13,1.211764706,0.5,0.7,1.198666667,0.788,0.014962932,5053,5055.4,51.415
204,34.2,1.82,38,1.858823529,0.66,0.844705882,1.2,0.95,1.198666667,1.257333333,0.042061856,6105.2,6567,603.96
205,40.37142857,1.73,43.4,1.161764706,0.27,1.148235294,0.9,0.89,1.206,1.528666667,0.049447738,6562.2,7262.2,580.06
206,28.67142857,1.84,32.9,1.902941176,0.55,0.714117647,1.89,0.24,1.206,0.722,0.015530061,5641,5805.5,91.856
207,42.04285714,1.88,33.5,0.65,0.4,1.229411765,0.76,0.12,1.206,1.697333333,0.036959032,6508.7,9007.7,470.1
208,33.68571429,1.75,32,0.967647059,0.96,1.211764706,1.04,0.64,1.213333333,1.418666667,0.017561706,5722.6,4087.1,298.66
209,36.51428571,1.83,20,0.711764706,0.5,0.876470588,1.7,0.5,1.213333333,1.624,0.014926802,5195.8,2681.1,72.3
210,18.51428571,1.63,21.8,0.941176471,0.16,0.936470588,1.27,0.83,1.220666667,1.704666667,0.018695009,2812.6,3662.4,225.63
211,30.85714286,1.62,33.5,0.5,0.81,0.869411765,1.56,0.59,1.228,0.736666667,0.017164388,4030.8,4344.2,124.6
212,29.18571429,1.66,40.1,1.258823529,0.33,1.190588235,1.32,0.11,1.228,1.382,0.024915372,4235.4,5723.1,382.76
213,32.27142857,1.56,31.1,1.744117647,0.69,1.254117647,0.8,0.81,1.235333333,1.176666667,0.020898523,3066.5,4452.6,179.11
214,39.47142857,1.69,49.7,1.982352941,0.26,0.703529412,0.57,0.36,1.235333333,1.228,0.063163571,6328.9,7359.4,920.79
215,24.68571429,1.81,38,1.223529412,0.91,1.268235294,1.94,0.28,1.242666667,1.536,0.02270973,5833.9,7077.4,790.09
216,23.52857143,1.85,41.9,1.514705882,0.67,0.805882353,0.81,0.13,1.242666667,0.824666667,0.023642885,6920.4,8856.9,670.26
217,29.18571429,1.79,26.3,0.605882353,0.76,0.992941176,0.95,0.68,1.25,1.565333333,0.015196061,4432.6,3224.5,364.26
218,21.08571429,1.5,38,0.694117647,0.46,1.169411765,1.44,0.9,1.257333333,1.572666667,0.028095986,1693,468.1,377.64
219,39.34285714,1.68,21.2,1.082352941,0.45,0.841176471,1.85,0.13,1.257333333,1.330666667,0.014712658,3233.2,2819.7,69.917
220,40.88571429,1.6,39.2,1.7,0.57,0.724705882,1.06,0.18,1.257333333,0.971333333,0.045189116,9311.9,10242,452.43
221,38.18571429,1.62,37.7,1.329411765,0.72,1.038823529,0.59,0.56,1.264666667,1.411333333,0.033714144,5070.5,5182.3,253.55
222,42.81428571,1.82,48.2,1.911764706,0.19,0.925882353,1.01,0.55,1.272,0.883333333,0.064515307,7546.4,10164,690.89
223,29.57142857,1.67,22.4,1.832352941,0.71,1.3,1.61,0.16,1.272,0.905333333,0.018276302,2706.8,2396.5,29.502
224,21.72857143,1.83,33.5,0.844117647,0.79,0.752941176,0.83,0.88,1.272,1.213333333,0.019645281,5967.1,7943,299.97
225,43.84285714,1.67,35,1.064705882,1,0.7,1.67,0.77,1.272,0.986,0.032246866,4555.7,5436,109.39
226,21.72857143,1.7,30.2,1.982352941,0.53,0.94,1.22,0.11,1.279333333,1.594666667,0.021763539,3704.9,4582.7,468.76
227,18.64285714,1.51,24.2,1.532352941,0.75,0.82,1.24,0.44,1.279333333,1.154666667,0.019259496,498.54,364.19,100.26
228,25.58571429,1.58,47.6,0.826470588,0.87,0.848235294,2,0.55,1.286666667,1.36,0.023476441,3656.5,3716.9,722.46
229,42.94285714,1.72,49.1,1.011764706,0.67,0.738823529,0.53,0.7,1.301333333,1.543333333,0.073460642,9123.1,9944.2,1480
230,34.32857143,1.56,23.3,0.941176471,0.62,1.137647059,1.38,0.1,1.301333333,1.558,0.016105075,2926.9,2604,108.5
231,24.55714286,1.55,42.5,1.011764706,0.51,1.3,0.91,0.96,1.301333333,0.868666667,0.029153118,2585.6,3392,337.65
232,24.04285714,1.64,36.5,1.364705882,0.19,0.7,0.86,0.45,1.308666667,1.096,0.023236381,3628.8,4394.5,98.869
233,42.55714286,1.54,45.2,1.285294118,0.27,0.752941176,1.5,0.26,1.316,0.92,0.03537172,8029.5,10654,172.75
234,18,1.8,26.6,1.664705882,0.12,1.141176471,1,0.99,1.316,1.14,0.028299681,4840.9,3457.4,226.96
235,36.12857143,1.77,30.5,0.632352941,0.37,1.151764706,1.96,0.27,1.316,0.744,0.021272223,4552.8,3385.8,158.35
236,20.57142857,1.57,35.6,1.911764706,0.9,1.127058824,1.54,0.3,1.323333333,1.015333333,0.03066725,1214.7,374.1,352.33
238,44.74285714,1.64,32,1.302941176,0.1,1.081176471,1.63,0.65,1.330666667,0.832,0.038238889,7118.1,9300.8,352.14
