ID,BMI                     ,Stature,DeltaV                  ,CushionStiffness        ,LapBeltFriction         ,LoadLimiter             ,SeatFriction            ,ShoulderBeltFriction    ,AirBagInflation         ,AirBagVenting           ,Normalized ChestD,FFL                     ,FFR                     ,HIC                     
922,44.22857143,1.89,34.7,0.614705882,0.49,1.151764706,1.66,0.14,1.719333333,1.367333333,0.033840838,7360,9320,227
923,20.82857143,1.5,29.9,0.808823529,0.57,1.010588235,0.96,0.44,1.712,1.499333333,0.01764032,2220,1270,324
924,41.65714286,1.53,35.3,0.782352941,0.57,1.254117647,1.79,0.83,1.719333333,1.741333333,0.024358027,4210,7250,290
925,26.1,1.75,30.8,0.958823529,0.85,0.82,0.55,0.44,1.719333333,0.758666667,0.017947322,4850,4000,80.2
927,27.77142857,1.57,45.2,0.720588235,0.33,0.721176471,0.54,0.57,1.719333333,1.792666667,0.017980821,3800,4570,356
928,20.95714286,1.89,30.5,1.373529412,0.84,1.296470588,1.7,0.86,1.719333333,1.272,0.035339248,3757.8,4837.4,268.82
929,21.85714286,1.7,49.7,1.902941176,0.91,1.229411765,1.6,0.18,1.719333333,0.934666667,0.023598283,3697.5,5181.5,380.15
930,27.25714286,1.58,34.7,1.038235294,0.69,1.162352941,1.52,0.56,1.726666667,0.912666667,0.021860742,3192.8,3898.3,107.64
931,21.08571429,1.54,28.1,1.452941176,1,0.975294118,1.85,0.52,1.726666667,0.890666667,0.019376244,721.39,967.22,257.55
932,33.17142857,1.76,23.9,1.426470588,0.44,0.918823529,1.02,0.63,1.726666667,0.758666667,0.014528704,4390.9,2997.7,42.345
933,18.64285714,1.9,24.5,1.020588235,0.36,1.091764706,0.73,0.17,1.726666667,1.308666667,0.027278346,4269.8,6167.8,173.98
934,43.71428571,1.7,32.6,1.347058824,0.4,0.904705882,1.95,0.9,1.726666667,1.220666667,0.022993673,5217.2,5737.4,109.68
935,41.52857143,1.51,31.7,0.738235294,0.34,1.194117647,0.86,0.14,1.734,0.766,0.031040033,6129.8,6937,229.63
936,29.05714286,1.57,37.1,1.135294118,0.86,1.014117647,0.7,0.74,1.726666667,1.404,0.01548248,3188.5,4500.3,257.43
937,24.17142857,1.85,38.9,1.629411765,0.15,0.805882353,0.63,0.29,1.734,1.074,0.023098126,7208.8,7490.4,151.98
938,38.44285714,1.7,46.7,0.905882353,0.47,1.017647059,0.58,0.69,1.734,1.748666667,0.054035321,6550.3,7251.9,559.74
939,41.91428571,1.82,39.8,1.055882353,0.41,1,1.75,0.58,1.734,1.330666667,0.039449933,6912.5,7104.5,301.22
940,24.68571429,1.65,38.6,1.814705882,0.51,0.858823529,1.91,0.87,1.734,0.934666667,0.021624952,3102.8,3660.7,136.86
941,30.34285714,1.88,41.6,0.844117647,0.99,0.82,1.82,0.72,1.734,1.455333333,0.03557537,6520,9200,570
942,28.02857143,1.72,27.2,0.958823529,0.46,0.742352941,1.03,0.84,1.734,1.616666667,0.00888353,4092,4159.2,117.79
943,31.5,1.58,28.7,1.955882353,0.29,1.081176471,0.81,0.67,1.734,1.264666667,0.02180009,3514.2,4377.1,110.7
944,43.32857143,1.6,24.5,1.144117647,0.14,0.957647059,1.86,0.48,1.741333333,1.272,0.022015755,5061,5389.2,43.521
945,32.91428571,1.89,47,1.744117647,0.56,1.162352941,0.91,0.9,1.741333333,1.792666667,0.044770541,7550.9,7727.1,1202.6
946,23.52857143,1.62,25.7,1.973529412,0.93,0.774117647,0.77,0.4,1.741333333,1.47,0.018490909,2930,4230,164
947,19.54285714,1.78,42.8,1.338235294,0.52,1.243529412,1.12,0.71,1.741333333,1.147333333,0.024617016,5941.6,7990,515.13
948,19.41428571,1.67,22.4,1.223529412,0.74,0.745882353,0.97,0.48,1.741333333,0.751333333,0.01426957,2905.4,3970.9,49.869
